Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Decision
53,3.75,95.96,548.57,8,1,9,476.25,1
8,2.73,180.09,749,14,5,7,736.45,0
51,-0.51,152.23,286.32,9,7,4,237.28,1
77,2.28,132.74,478.43,8,4,6,390.35,0
119,1.26,119.48,374.47,7,6,5,330.49,1
26,1.16,143.27,371.42,8,6,5,313.75,1
90,2.2,98.22,295.75,5,5,3,232.65,0
14,0.72,84.58,266.34,5,4,8,260.9,1
23,-1.94,59.06,392.52,5,1,5,332.91,1
136,3.92,15.27,266.39,2,1,4,270.37,0
110,0.31,150.54,334.36,8,7,6,275.17,1
159,-2.1,160.45,513.62,12,6,10,475.38,0
33,-0.31,159.93,394.45,9,8,10,340.57,1
32,2.85,102.54,478.48,7,2,7,406.09,1
22,-0.26,86.01,331.47,7,2,10,293.96,1
73,2.56,90.56,469.97,8,2,4,413.7,0
169,-0.17,55.48,162.99,3,3,1,173.16,0
18,0.72,84.58,266.34,5,4,8,260.9,1
85,2.07,50.72,265.35,4,2,9,267.35,0
130,-0.02,135.59,358.44,8,5,5,292.26,1
141,2.89,43.69,267.33,3,2,0,246.38,0
151,1.22,67.79,265.31,5,2,5,247.78,0
111,0.28,150.54,334.36,8,7,6,275.17,1
43,3.93,125.14,521.58,10,3,10,466.07,0
16,1.77,49.77,289.38,4,1,5,279.01,1
137,4.51,31.64,437.53,4,1,7,380.78,0
125,1.57,119.48,364.4,7,6,5,301.82,1
64,3.1,136.99,460.56,9,5,8,408.23,0
7,-1.39,46.53,340.44,4,1,5,330.48,1
160,-0.84,193.79,470.53,12,7,7,377.5,0
60,0.75,138.67,293.3,7,7,3,235.15,1
153,1.69,117.34,505.62,9,3,9,472.55,0
24,1.05,62.3,303.36,5,1,5,277.2,0
91,1.31,119.48,334.4,7,6,7,290.66,1
76,6.36,128.29,764.94,11,4,11,711.86,0
105,0.6,133.47,334.4,7,7,7,289.79,1
168,-3.35,191.46,571.66,15,7,12,519.97,0
42,-3.06,127.68,393.49,8,6,8,352.45,1
9,4.3,40.54,375.87,3,1,6,336.98,0
27,1.16,119.48,332.38,7,6,5,280.09,1
161,-1.6,231.54,514.5,16,8,8,434.49,0
123,1.83,119.48,360.44,7,6,5,313.45,1
50,-0.92,92.17,393.51,6,3,5,375.37,1
155,-0.23,92.72,563.6,8,1,9,496.24,0
98,-1.47,46.53,332.46,4,1,6,332.39,1
138,2.77,26.02,179.31,1,2,0,191.67,0
116,1.34,139.7,392.48,8,7,9,348.9,1
143,0.77,130.7,268.25,9,1,3,227.43,0
65,1.22,127.76,390.46,8,5,7,343.15,1
95,3.94,81.94,415.57,5,4,16,419.34,0
47,1.66,119.92,404.49,8,5,8,356.42,1
71,2.09,119.48,380.86,7,6,5,310.43,1
94,2.46,48.01,307.39,5,0,8,299.22,0
158,1.72,98.22,265.34,5,5,3,231.48,0
31,0.38,133.47,320.37,7,7,6,272.99,1
109,1.03,139.7,390.46,8,7,9,338.54,1
2,2.97,41.49,259.35,3,2,6,257.82,0
5,4.14,35.16,326.83,4,1,1,292.3,0
45,1.03,139.7,390.46,8,7,9,338.54,1
124,1.83,119.48,360.44,7,6,5,313.45,1
134,4.92,11.41,373.95,3,0,4,337.96,0
126,0.73,133.47,334.4,7,7,6,289.57,1
11,3.89,86.28,493.62,8,2,7,461.44,0
59,1.01,37.81,211.27,3,1,0,194.5,1
83,0.72,84.58,266.34,5,4,8,260.9,1
3,4.19,68.75,446.91,7,1,8,385.07,0
30,1.46,119.48,346.41,7,6,5,296.89,1
129,1.27,127.76,366.44,8,5,5,321.62,0
67,2.4,107.45,359.33,6,5,5,275.95,0
128,1.32,133.47,374.47,7,7,5,329.4,1
63,1.28,145.78,404.45,9,6,7,341.44,1
164,-5.33,222.53,529.54,16,8,8,454.28,1
96,2.2,110.69,374.47,7,5,9,335.58,0
12,2.54,67.59,299.8,5,3,7,278.91,1
97,2.46,104.2,364.45,6,4,5,338.43,0
93,3.46,58.56,341.45,4,2,11,338.04,0
66,1.82,119.48,360.44,7,6,6,313.69,1
89,1.07,72.71,225.29,4,4,4,220.31,1
144,3.42,29.1,239.75,2,1,4,228.54,0
6,-1.24,156.8,229.63,8,8,2,176.82,1
118,3.1,136.99,460.56,9,5,8,408.23,0
56,3.34,138.8,734.81,12,3,8,643.04,0
157,1.15,38.91,244.31,2,2,3,233.97,0
41,1.01,132.37,347.4,8,6,5,292.73,1
46,-0.09,146.36,321.36,8,7,6,268.83,1
61,1.37,118.44,277.31,6,6,3,227.13,1
145,7.23,66.58,582.92,6,4,29,625.79,0
34,1.34,139.7,392.48,8,7,9,348.9,1
82,1.82,200.47,556.63,15,7,12,500.17,0
133,-1.94,59.06,392.52,5,1,5,332.91,1
79,1.71,142.81,375.86,8,7,7,332.89,1
78,2.73,99.8,514.03,9,2,4,455.86,0
122,2.06,110.69,374.47,7,5,6,330.63,1
112,1.88,139.7,406.51,8,7,10,365.7,1
165,5.7,113.41,681.86,10,3,11,640.28,0
132,0.43,97.78,205.26,5,6,6,198.34,1
117,1.66,119.92,404.49,8,5,8,356.42,1
88,2.96,29.1,237.73,2,1,2,218.4,0
25,3.57,23.47,259.39,2,1,2,268.06,0
120,1.82,119.48,360.44,7,6,6,313.69,1
44,1.48,139.7,404.49,8,7,9,354.77,1
69,2.31,119.48,443.3,7,6,5,319.71,1
101,1.22,67.79,265.31,5,2,5,247.78,0
75,0.33,139.78,417.49,9,6,6,361.8,1
106,0.68,148.94,422.51,9,7,12,374.9,1
10,4.55,63.97,454.61,6,0,13,454.3,0
142,1.91,106.96,383.41,9,2,4,336,0
87,4.29,31.64,403.98,4,1,6,363.02,1
163,-4.9,205.46,501.53,15,8,8,435.3,0
99,1.98,57.28,248.33,4,3,6,242.81,0
131,-1.13,88.99,129.17,5,5,3,126.83,1
62,1.29,127.68,307.33,7,6,4,252.67,1
21,2.56,71.7,434.58,6,2,3,417.74,0
55,4.18,104.75,562.6,8,2,10,492.69,0
13,0.38,103.29,339.39,8,4,8,315.02,1
74,0,161.63,425.49,10,5,5,340.84,0
107,1.74,119.48,374.47,7,6,6,330.49,1
72,-0.39,135.59,344.42,8,5,4,275.46,1
81,1.41,128.71,390.46,8,6,7,339.26,1
19,-0.85,46.53,318.44,4,1,5,315.46,1
150,5.43,3.24,315.87,1,0,3,283.2,0
70,0.79,139.7,376.44,8,7,6,321.73,1
170,-0.52,84.95,237.06,5,4,5,240.57,0
29,0.33,133.47,320.37,7,7,6,272.99,1
104,0.62,150.54,348.38,8,7,6,291.76,1
162,-0.3,214.47,486.49,15,8,8,415.51,0
20,1.43,119.48,346.41,7,6,5,296.89,1
4,0.29,46.53,348.51,4,1,9,359.64,1
167,3.53,89.65,435.41,6,2,5,360.08,0
40,-2.3,107.45,375.47,7,5,5,333.83,1
102,1.43,119.48,346.41,7,1,5,296.89,1
38,1.82,89.24,517.67,8,1,5,469.58,0
49,2.05,103.27,354.44,6,5,4,305.34,1
127,2.32,119.48,376.48,7,6,8,340.64,1
113,0.69,139.7,378.45,8,7,9,332.31,1
149,-0.73,160.89,471.52,12,5,8,418.39,0
135,5.69,8.17,346.5,2,0,4,326.47,0
54,-0.62,80.69,424.52,7,2,5,393.55,1
146,0.83,142.81,305.73,8,7,4,249.34,0
115,-0.31,159.93,394.45,9,8,10,340.57,1
39,2.96,107.26,631.77,9,2,9,564.63,0
84,1.92,36.42,230.1,3,2,1,181.94,0
36,-0.31,153.7,350.4,8,8,7,297.83,1
147,2.75,126.8,584.71,10,3,8,535.17,0
48,1.85,136.13,507.55,10,4,9,448.54,1
148,1.92,122.04,528.67,9,3,8,478.54,0
108,1.48,119.48,346.41,7,6,5,296.89,1
103,0.62,119.48,360.44,7,6,5,313.69,1
152,2.79,105.61,478.43,8,1,5,392.34,0
35,1.33,139.7,404.49,8,7,9,355.34,1
154,1.82,86.24,508.62,8,1,5,444.67,0
15,1.77,49.77,289.38,4,1,5,279.01,1
92,0.14,88.89,252.35,6,3,7,231.45,1
1,0.99,105.53,290.32,7,4,5,263.15,1
37,0.67,139.7,364.43,8,7,8,315.51,1
156,3.1,114.16,681.84,10,2,9,608.22,0
100,2.64,3.24,187.29,1,0,4,202.64,0
166,2.4,111.94,374.44,6,3,5,347.33,0
52,0.19,146.36,335.39,8,7,7,285.63,1
58,-0.92,92.17,393.51,6,3,5,375.37,1
28,2.77,92.71,395.46,7,3,5,356.62,0
86,0.82,129.64,253.27,7,6,1,216.68,1
68,1.4,144.75,335.34,8,6,5,271.66,1
139,4.82,6.48,314.86,2,0,4,300.85,0
114,-0.39,149.44,273.27,9,6,5,217.28,1
57,2.46,138.8,706.75,12,3,7,609.65,0
80,1.72,119.48,378.43,7,6,6,318.65,1
17,2.78,97.72,577.62,8,1,8,486.77,0
121,1.89,159.78,440.48,9,7,9,372.36,1
140,3.34,32.34,288.44,3,1,5,301.5,0
