Index,nsulph,ncof,ntb,AWeight,ncocl,GMTIV,Hatov,TPSA,Hy,QOss,Decision
1,1,0,0,13.39,0,4.339,2.339,59.08,-3.685,0.587,1
2,0,0,0,12.937,0,4.43,2.786,103.04,-3.262,0.695,1
3,0,3,1,13.066,0,4.743,3.33,102.52,-3.664,0.071,1
4,0,3,1,13.034,0,4.872,3.035,95.95,-3.858,0.144,1
5,0,0,0,12.561,0,4.415,2.766,85.35,-4.02,0.478,1
6,1,0,0,13.582,0,4.405,2.701,139.7,-3.262,0.523,1
7,0,0,0,12.694,0,4.828,3.328,136.13,-3.867,0.365,1
8,1,0,0,14.011,0,3.995,2.984,118.44,-2.683,0.391,1
9,1,0,0,13.725,0,4.469,2.847,145.77,-3.09,0.655,1
10,1,0,0,14.566,0,3.991,2.755,149.43,-1.853,0.386,1
11,0,0,0,12.746,0,3.959,3.642,129.62,-2.683,0,1
12,0,0,0,12.676,0,3.978,2.716,49.77,-3.556,0.433,1
13,0,0,0,12.385,0,3.632,3.107,37.81,-3.25,0,1
14,0,0,0,13.166,0,4.885,3.193,222.52,-3.038,0.62,1
15,0,0,0,12.41,0,4.058,2.366,59.22,-3.901,0.075,1
16,0,0,0,12.974,0,4.597,3.042,134.81,-3.35,0.583,1
17,0,0,0,12.676,0,3.978,2.716,49.77,-3.556,0.433,1
18,0,0,0,13.12,0,2.974,2.379,88.99,-1.409,0,1
19,0,0,0,13.881,1,3.868,2.146,67.59,-3.025,0.318,1
20,0,0,0,13.893,1,4.172,3.062,142.8,-2.635,0.071,1
21,1,0,0,13.992,1,4.245,2.314,29.95,-3.698,0.156,1
22,0,0,0,12.961,0,4.075,2.687,105.51,-2.928,0.725,1
23,1,0,0,13.582,0,4.411,2.658,119.91,-3.262,0.52,1
24,1,1,0,13.818,0,4.373,2.924,119.47,-3.073,0.373,1
25,1,0,0,13.582,0,4.411,2.658,119.91,-3.262,0.52,1
26,1,0,0,13.597,0,4.471,2.669,139.78,-3.183,0.448,1
27,0,0,0,12.598,0,3.712,2.417,58.36,-3.126,0.073,1
28,1,0,0,13.64,0,4.374,2.723,128.7,-3.17,0.52,1
29,1,0,0,13.64,0,4.386,2.857,139.7,-3.17,0.525,1
30,1,0,0,13.582,0,4.417,2.814,139.7,-3.262,0.525,1
31,0,0,0,12.809,0,4.343,2.836,90.82,-3.529,0.73,1
32,1,0,0,13.64,0,4.355,2.485,127.75,-3.17,0.453,1
33,1,1,0,16.43,0,4.324,2.122,119.47,-2.893,0.372,1
34,2,0,0,14.776,0,4.075,1.935,83.33,-2.51,0.134,1
35,1,0,0,13.64,0,4.356,2.584,139.7,-3.17,0.525,1
36,1,0,0,13.559,0,4.592,3.074,159.76,-3.356,0.68,1
37,1,0,0,13.55,0,4.267,2.419,119.47,-3.254,0.376,1
38,1,0,0,13.64,0,4.386,2.857,139.7,-3.17,0.525,1
39,1,0,0,13.582,0,4.388,2.557,139.7,-3.262,0.525,1
40,0,0,0,12.719,0,4.426,2.731,80.68,-3.836,0.747,1
41,1,0,1,13.895,0,3.849,2.213,88.89,-2.404,0,1
42,2,0,0,14.709,0,4.208,2.421,132.35,-2.753,0.235,1
43,1,0,0,13.64,0,4.356,2.584,139.7,-3.17,0.525,1
44,0,0,0,12.851,0,3.953,2.579,84.58,-3.13,0.467,1
45,1,0,0,13.55,0,4.296,2.635,110.68,-3.254,0.377,1
46,0,0,0,12.851,0,3.953,2.579,84.58,-3.13,0.467,1
47,1,0,0,13.665,0,4.485,2.689,148.93,-3.183,0.67,1
48,1,0,0,13.703,0,4.345,2.905,139.7,-3.073,0.529,1
49,1,0,0,13.844,0,4.26,2.927,153.69,-2.866,0.525,1
50,1,0,0,13.55,0,4.298,2.761,119.47,-3.254,0.377,1
51,0,0,0,12.832,0,3.721,2.367,72.72,-3.126,0.561,1
52,1,0,0,13.788,0,4.423,2.898,159.93,-2.994,0.682,1
53,1,0,0,13.924,0,4.276,3.033,150.53,-2.753,0.442,1
54,1,0,0,14.01,0,4.277,2.924,144.74,-2.753,0.669,1
55,2,0,0,14.922,0,4.159,2.328,135.59,-2.432,0.225,1
56,1,0,0,14.011,0,4.128,2.819,127.67,-2.719,0.638,1
57,1,0,0,13.75,0,4.174,2.816,133.46,-2.95,0.377,1
58,2,0,0,14.796,0,4.19,2.312,135.59,-2.557,0.225,1
59,1,0,0,13.703,0,4.325,2.704,139.7,-3.073,0.525,1
60,0,0,0,12.883,0,3.657,2.394,72.72,-3,0.666,1
61,1,0,0,13.788,0,4.423,2.898,159.93,-2.994,0.682,1
62,1,0,0,13.55,0,4.292,2.786,133.46,-3.254,0.374,1
63,0,0,0,12.851,0,3.953,2.579,84.58,-3.13,0.467,1
64,1,0,0,13.844,0,4.274,2.851,150.53,-2.866,0.439,1
65,1,0,0,13.75,0,4.165,2.706,133.46,-2.95,0.376,1
66,1,0,0,14.549,1,4.241,2.599,119.47,-2.972,0.373,1
67,1,1,0,13.891,0,4.313,2.949,119.47,-2.972,0.373,1
68,0,0,0,12.771,0,3.965,2.577,85.35,-3.347,0.478,1
69,1,0,0,14.327,0,3.999,2.55,152.23,-2.012,0.195,1
70,1,0,0,13.452,0,4.236,2.846,103.26,-3.344,0.311,1
71,1,0,0,13.75,0,4.169,2.68,119.47,-2.95,0.376,1
72,1,0,0,13.611,0,4.265,2.804,119.47,-3.158,0.377,1
73,1,0,0,13.75,0,4.191,2.905,119.47,-2.95,0.372,1
74,1,0,0,13.55,0,4.287,2.761,119.47,-3.254,0.374,1
75,0,0,1,12.561,0,4.321,2.685,92.16,-3.853,0.5,1
76,1,0,0,13.92,0,4.15,2.92,146.35,-2.635,0.375,1
77,1,0,0,14.111,0,4.096,3.085,138.67,-2.593,0.65,1
78,1,0,0,13.829,0,4.133,2.87,133.46,-2.838,0.376,1
79,1,0,0,13.837,0,4.19,2.863,146.35,-2.753,0.376,1
80,1,0,0,13.712,0,3.901,2.135,65.2,-3.025,0.09,1
81,1,0,0,13.771,0,4.292,2.742,139.7,-2.972,0.525,1
82,0,0,1,12.561,0,4.321,2.685,92.16,-3.853,0.5,1
83,1,0,0,13.678,0,4.221,2.851,119.47,-3.057,0.373,1
84,1,0,0,13.924,0,4.299,3.033,150.53,-2.753,0.442,1
85,1,0,0,13.611,0,4.265,2.804,119.47,-3.158,0.377,1
86,1,0,0,13.611,0,4.257,2.804,119.47,-3.158,0.374,1
87,0,0,0,12.827,0,4.19,3.014,92.95,-3.446,0.924,1
88,1,0,0,13.916,0,4.119,2.176,83.58,-2.719,0.349,1
89,0,0,0,13.603,1,4.293,2.617,142.8,-3.073,0.071,1
90,1,0,0,13.761,0,4.236,2.897,132.36,-2.866,0.372,1
91,1,0,0,13.64,0,4.336,2.44,127.67,-3.17,0.522,1
92,0,0,0,12.569,0,4.042,2.276,46.53,-3.901,0.41,1
93,1,0,0,13.678,0,4.221,2.851,119.47,-3.057,0.373,1
94,1,0,0,13.611,0,4.242,2.679,119.47,-3.158,0.373,1
95,1,0,0,13.611,0,4.242,2.679,119.47,-3.158,0.373,1
96,0,0,0,13.091,0,4.359,2.994,103.29,-3.057,0.854,1
97,1,0,1,13.626,0,4.342,2.96,143.26,-3.073,0.373,1
98,0,0,0,12.676,0,3.7,3.158,97.78,-2.605,0,1
99,0,0,0,12.593,0,4.068,2.384,46.53,-3.821,0.432,1
100,0,0,0,13.091,0,4.359,2.994,103.29,-3.057,0.854,1
101,1,0,0,13.55,0,4.266,2.508,107.44,-3.254,0.368,1
102,0,0,0,12.548,0,4.178,2.816,46.53,-3.977,0.404,1
103,0,0,0,12.618,0,3.979,2.469,46.53,-3.737,0.407,1
104,2,0,0,14.244,0,4.194,2.248,59.06,-3.435,0.536,1
105,1,0,0,13.678,0,4.245,2.851,119.47,-3.057,0.374,1
106,1,0,0,13.829,0,4.173,2.87,133.46,-2.838,0.377,1
107,1,0,0,13.678,0,4.267,2.851,119.47,-3.057,0.374,1
108,0,0,0,14.771,1,3.712,3.091,156.79,-1.563,0.071,1
109,0,0,0,12.569,0,4.125,2.66,46.53,-3.901,0.404,1
110,2,0,0,14.244,0,4.194,2.248,59.06,-3.435,0.536,1
111,0,3,1,13.18,0,4.774,3.383,105.6,-3.517,0.142,0
112,1,1,0,13.092,0,5.073,2.804,114.15,-4.24,0.205,0
113,0,0,2,12.581,0,4.479,3.176,111.93,-3.777,0.22,0
114,1,0,0,14.177,1,3.825,2.068,3.24,-3.765,0,0
115,0,0,0,12.51,0,3.882,2.92,43.7,-3.674,0.508,0
116,0,3,1,13.009,0,4.882,2.892,92.71,-3.92,0.144,0
117,2,0,0,14.463,0,4.612,2.576,193.79,-2.717,0.36,0
118,1,0,0,13.99,1,4.085,2.18,9.72,-3.715,0,0
119,0,0,0,12.211,0,3.8,2.626,15.27,-3.89,0,0
120,0,0,0,13.258,1,3.876,2.252,6.48,-3.851,0,0
121,0,0,0,12.391,0,3.833,2.222,32.34,-3.765,0.074,0
122,0,0,0,12.866,0,4.748,2.569,126.79,-4.108,1.072,0
123,1,0,0,13.308,0,4.695,2.483,122.04,-3.801,0.374,0
124,0,0,0,12.956,0,3.962,2.701,67.79,-3.13,0.671,0
125,0,0,0,12.712,0,4.686,2.737,117.33,-3.942,0.363,0
126,0,0,0,13.151,0,4.795,3.339,214.46,-2.931,0.549,0
127,0,0,0,12.984,0,4.877,2.783,191.46,-3.397,0.549,0
128,1,0,0,12.973,0,4.089,2.423,6.48,-4.087,0,0
129,1,3,0,13.711,0,4.512,2.712,29.95,-3.598,0.156,0
130,0,0,0,12.937,0,4.474,2.958,106.95,-3.262,0.767,0
131,0,0,0,13.376,0,4.055,3.149,129.7,-2.236,0.413,0
132,0,0,0,13.85,1,3.502,1.912,29.1,-3.25,0.086,0
133,0,0,0,12.391,0,4.945,2.333,66.58,-4.622,0.493,0
134,0,1,0,12.621,0,3.804,2.696,38.91,-3.475,0,0
135,0,0,0,13.197,0,4.875,3.394,231.53,-2.957,0.62,0
136,0,3,1,13.103,0,4.679,3.666,89.63,-3.594,0.072,0
137,0,0,0,13.377,1,4.003,2.564,30.87,-3.54,0,0
138,0,0,0,13.551,1,4.178,3.128,70.67,-3.344,0.072,0
139,0,0,0,12.51,0,4.543,2.609,71.69,-4.063,0.31,0
140,0,0,0,12.326,0,3.782,2.597,23.47,-3.801,0.153,0
141,0,0,0,12.676,0,4.841,3.149,125.13,-3.93,0.353,0
142,0,0,0,13.386,1,4.537,2.612,90.56,-3.669,0.288,0
143,0,3,1,13.18,0,4.775,3.725,132.72,-3.517,0.144,0
144,0,0,0,13.009,0,4.866,2.913,200.47,-3.326,0.549,0
145,0,0,0,12.827,0,4.036,2.37,48,-3.446,0.824,0
146,0,0,0,12.609,0,4.567,2.723,81.95,-4.089,0.706,0
147,0,0,1,12.602,0,4.282,3.051,104.19,-3.698,0.5,0
148,0,0,0,12.956,0,3.962,2.701,67.79,-3.13,0.671,0
149,0,0,0,13.983,1,4.116,3.141,142.8,-2.51,0.071,0
150,0,0,0,13.008,0,4.68,2.918,160.88,-3.292,0.746,0
151,1,1,0,13.316,0,4.706,2.81,86.22,-3.734,0.133,0
152,1,0,0,13.901,0,3.832,2.602,98.21,-2.78,0.134,0
153,0,1,0,12.669,0,5.132,2.711,113.41,-4.402,0.336,0
154,0,0,0,12.996,0,3.801,3.1,84.94,-2.645,0.739,0
155,0,0,0,12.536,0,3.85,2.579,41.49,-3.577,0.391,0
156,0,0,0,13.008,0,4.934,2.074,180.08,-4.166,1.642,0
157,0,0,0,12.496,0,4.767,2.902,86.28,-4.083,0.072,0
158,0,0,0,12.201,0,3.846,2.451,6.48,-3.974,0,0
159,1,0,0,13.648,0,4.126,2.94,90.01,-3.041,0.081,0
160,0,0,0,13.052,1,4.511,2.524,43.78,-4.339,0.223,0
161,0,1,0,12.704,0,4.682,2.519,67.45,-4.165,0.41,0
162,0,0,0,14.097,2,4.596,2.385,94.06,-3.669,0.719,0
163,0,0,0,12.827,0,4.104,2.907,62.3,-3.446,0.567,0
164,0,0,0,12.768,0,4.391,3.085,92.71,-3.685,0.747,0
165,1,1,0,13.372,0,4.639,2.536,89.23,-3.734,0.208,0
166,0,2,0,12.861,0,5.242,3.173,138.79,-4.263,0.463,0
167,0,2,0,12.894,0,5.213,3.315,138.79,-4.166,0.463,0
168,1,0,0,13.51,0,4.586,2.52,136.98,-3.438,0.624,0
169,1,3,0,14.468,0,4.384,3.027,107.44,-2.675,0.381,0
170,0,1,0,12.706,0,5.243,2.808,128.29,-4.563,0.737,0
171,0,0,0,13.383,1,4.647,2.488,99.79,-3.734,0.426,0
172,0,0,0,12.746,0,3.863,2.495,50.72,-3.354,0.624,0
173,0,0,0,13.85,1,3.502,2.274,29.1,-3.25,0.088,0
174,0,0,0,12.569,0,4.225,2.742,58.56,-3.901,0.477,0
175,1,0,0,13.55,0,4.308,2.635,110.68,-3.254,0.376,0
176,0,0,1,12.154,0,3.433,2.32,3.24,-3.535,0,0
177,1,0,0,13.51,0,4.586,2.52,136.98,-3.438,0.624,0
178,1,0,0,13.771,0,4.292,2.392,127.75,-2.972,0.382,0
179,0,0,0,12.165,0,3.027,2.026,26.02,-3.416,0,0
180,0,1,0,13.636,1,4.567,2.749,68.74,-3.516,0.626,0
181,0,1,0,13.565,1,4.361,2.691,40.54,-3.797,0.235,0
182,0,0,1,12.615,0,4.565,2.215,63.95,-4.127,0.972,0
183,0,0,0,19.874,0,4.366,1.275,42.68,-3.995,0.535,0
184,0,0,0,12.51,0,4.11,2.791,45.59,-3.821,0.396,0
185,1,3,0,13.685,0,4.881,2.713,97.71,-3.725,0.388,0
186,1,1,0,13.188,0,4.963,2.785,107.25,-4.149,0.455,0
187,0,3,1,13.009,0,4.893,3.023,104.74,-3.92,0.144,0
188,2,0,0,14.512,0,4.469,2.421,161.62,-2.747,0.349,0
189,0,0,0,15.788,2,3.413,2.232,36.42,-2.448,0,0
190,1,0,0,15.035,1,3.939,2.55,98.21,-2.683,0.134,0
191,0,0,0,12.676,0,3.807,2.59,57.28,-3.243,0.391,0
192,0,0,0,12.956,0,3.992,3.184,81.93,-2.683,0.193,0
193,0,0,0,13.119,0,4.806,3.135,205.45,-3.016,0.549,0
194,0,0,0,12.742,0,3.327,3.243,55.48,-2.39,0.338,0
